fileName; characters_first_document; characters_removed; characters_added; characters_modified; modified
cirtrauma_10_comparacao.txt;22642;1156;784;1940;8,57%
cirtrauma_11_comparacao.txt;13345;696;555;1251;9,37%
cirtrauma_12_comparacao.txt;14010;352;510;862;6,15%
cirtrauma_13_comparacao.txt;26901;4858;51581;56439;209,8%
cirtrauma_15_comparacao.txt;9031;293;148;441;4,88%
cirtrauma_14_comparacao.txt;10245;1038;440;1478;14,43%
cirtrauma_1_comparacao.txt;15781;246;438;684;4,33%
cirtrauma_2_comparacao.txt;13235;569;1061;1630;12,32%
cirtrauma_3_comparacao.txt;23747;703;903;1606;6,76%
cirtrauma_4_comparacao.txt;16771;222;240;462;2,75%
cirtrauma_5_comparacao.txt;27227;1841;2364;4205;15,44%
cirtrauma_6_comparacao.txt;14255;368;284;652;4,57%
cirtrauma_7_comparacao.txt;862;0;20360;20360;2361,95%
cirtrauma_8_comparacao.txt;16532;1995;1963;3958;23,94%
cirtrauma_9_comparacao.txt;14914;105;151;256;1,72%
