fileName; characters_first_document; characters_removed; characters_added; characters_modified; modified
gastro1_10_comparacao.txt;27372;1062;2403;3465;12,66%
gastro1_11_comparacao.txt;72015;5745;12131;17876;24,82%
gastro1_12_comparacao.txt;19372;274;481;755;3,9%
gastro1_1_comparacao.txt;19668;622;574;1196;6,08%
gastro1_2_comparacao.txt;54701;3477;5612;9089;16,62%
gastro1_3_comparacao.txt;37789;1468;1827;3295;8,72%
gastro1_4_comparacao.txt;32056;433;1749;2182;6,81%
gastro1_5_comparacao.txt;41524;2909;3556;6465;15,57%
gastro1_6_comparacao.txt;29979;1125;1041;2166;7,23%
gastro1_7_comparacao.txt;35235;1479;2876;4355;12,36%
gastro1_9_comparacao.txt;39695;4014;6941;10955;27,6%
gastro1_8_comparacao.txt;54817;9656;12193;21849;39,86%
