fileName; characters_first_document; characters_removed; characters_added; characters_modified; modified
hemato_10_comparacao.txt;6811;219;70;289;4,24%
hemato_11_comparacao.txt;49100;416;3734;4150;8,45%
hemato_12_comparacao.txt;40927;1158;1053;2211;5,4%
hemato_13_comparacao.txt;35768;364;1343;1707;4,77%
hemato_14_comparacao.txt;49212;344;1542;1886;3,83%
hemato_15_comparacao.txt;49626;4071;5876;9947;20,04%
hemato_17_comparacao.txt;36030;192;192;384;1,07%
hemato_16_comparacao.txt;50817;1103;1764;2867;5,64%
hemato_1_comparacao.txt;39596;1645;2431;4076;10,29%
hemato_2_comparacao.txt;34314;592;742;1334;3,89%
hemato_3_comparacao.txt;72115;2613;2946;5559;7,71%
hemato_6_comparacao.txt;18780;98;211;309;1,65%
hemato_7_comparacao.txt;47829;259;1199;1458;3,05%
hemato_4_comparacao.txt;97720;1152;2039;3191;3,27%
hemato_8_comparacao.txt;34182;320;385;705;2,06%
hemato_5_comparacao.txt;21357;195;1036;1231;5,76%
hemato_9_comparacao.txt;28622;411;2019;2430;8,49%
